pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
16570,UziTech,Externals,50Wliu,Externals,No
16548,MoritzKn,Externals,daviwil,Internals,No
16546,as-cii,Internals,as-cii,Internals,Yes
16542,daviwil,Internals,daviwil,Internals,Yes
16533,jasonrudolph,Internals,jasonrudolph,Internals,Yes
16530,as-cii,Internals,as-cii,Internals,Yes
16524,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16521,damieng,Internals,BinaryMuse,Internals,No
16518,as-cii,Internals,nathansobo,Internals,No
16515,as-cii,Internals,as-cii,Internals,Yes
16513,BinaryMuse,Internals,BinaryMuse,Internals,Yes
16512,nathansobo,Internals,nathansobo,Internals,Yes
16511,nathansobo,Internals,nathansobo,Internals,Yes
16500,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16497,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16495,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16493,lee-dohm,Internals,lee-dohm,Internals,Yes
16492,jasonrudolph,Internals,jasonrudolph,Internals,Yes
16491,tobiasvl,Externals,50Wliu,Externals,No
16484,jasonrudolph,Internals,jasonrudolph,Internals,Yes
16473,lee-dohm,Internals,lee-dohm,Internals,Yes
16469,m1guelpf,Externals,jasonrudolph,Internals,No
16458,mortenpi,Externals,maxbrunsfeld,Internals,No
16456,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16455,fordhurley,Externals,maxbrunsfeld,Internals,No
16451,lee-dohm,Internals,lee-dohm,Internals,Yes
16444,him2him2,Externals,50Wliu,Externals,No
16441,malept,Externals,lee-dohm,Internals,No
16421,daviwil,Internals,daviwil,Internals,Yes
16414,simurai,Internals,simurai,Internals,Yes
16397,segevfiner,Externals,BinaryMuse,Internals,No
16375,damieng,Internals,damieng,Internals,Yes
16354,50Wliu,Externals,50Wliu,Externals,Yes
16352,leroix,Externals,leroix,Externals,Yes
16341,GilTeixeira,Externals,50Wliu,Externals,No
16340,kant,Externals,jasonrudolph,Internals,No
16338,50Wliu,Externals,50Wliu,Externals,Yes
16337,50Wliu,Externals,50Wliu,Externals,Yes
16336,simurai,Internals,simurai,Internals,Yes
16328,50Wliu,Externals,50Wliu,Externals,Yes
16322,50Wliu,Externals,50Wliu,Externals,Yes
16319,leroix,Externals,leroix,Externals,Yes
16306,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16299,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16297,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16295,xfontes42,Externals,ungb,Internals,No
16294,kuychaco,Internals,kuychaco,Internals,Yes
16290,maxbrunsfeld,Internals,maxbrunsfeld,Internals,Yes
16282,leroix,Externals,nathansobo,Internals,No
16256,50Wliu,Externals,50Wliu,Externals,Yes
16255,50Wliu,Externals,50Wliu,Externals,Yes
16245,50Wliu,Externals,50Wliu,Externals,Yes
16230,U8NWXD,Externals,lee-dohm,Internals,No
16229,50Wliu,Externals,50Wliu,Externals,Yes
16227,50Wliu,Externals,50Wliu,Externals,Yes
