month,pull_type,pull_amount,user_type
2018-01-15,opened,1,Internals
2017-11-15,opened,4,Internals
2017-10-15,opened,1,Internals
2017-09-15,opened,1,Internals
2017-08-15,opened,1,Internals
2017-05-15,opened,1,Internals
2016-03-15,opened,1,Internals
2016-02-15,opened,2,Internals
2017-10-15,closed,2,Internals
2017-09-15,closed,1,Internals
2017-08-15,closed,6,Internals
2017-07-15,closed,2,Internals
2017-06-15,closed,1,Internals
2017-04-15,closed,1,Internals
2017-03-15,closed,2,Internals
2017-02-15,closed,2,Internals
2017-01-15,closed,1,Internals
2016-11-15,closed,1,Internals
2016-10-15,closed,5,Internals
2016-09-15,closed,2,Internals
2016-08-15,closed,1,Internals
2016-07-15,closed,5,Internals
2016-06-15,closed,3,Internals
2016-05-15,closed,3,Internals
2016-04-15,closed,5,Internals
2016-03-15,closed,6,Internals
2016-02-15,closed,3,Internals
2016-01-15,closed,3,Internals
2015-12-15,closed,2,Internals
2015-11-15,closed,5,Internals
2015-10-15,closed,2,Internals
2015-09-15,closed,3,Internals
2015-08-15,closed,1,Internals
2015-07-15,closed,1,Internals
2015-06-15,closed,3,Internals
2015-05-15,closed,3,Internals
2015-04-15,closed,2,Internals
2015-03-15,closed,6,Internals
2015-02-15,closed,4,Internals
2015-01-15,closed,3,Internals
2014-12-15,closed,6,Internals
2014-11-15,closed,2,Internals
2014-10-15,closed,3,Internals
2014-08-15,closed,3,Internals
2014-07-15,closed,5,Internals
2014-06-15,closed,2,Internals
2014-05-15,closed,4,Internals
2014-04-15,closed,1,Internals
2014-03-15,closed,2,Internals
2014-02-15,closed,4,Internals
2014-01-15,closed,5,Internals
2013-12-15,closed,4,Internals
2013-11-15,closed,3,Internals
2013-10-15,closed,6,Internals
2013-09-15,closed,6,Internals
2013-08-15,closed,3,Internals
2013-07-15,closed,5,Internals
2013-06-15,closed,1,Internals
2013-04-15,closed,3,Internals
2013-03-15,closed,16,Internals
2013-02-15,closed,3,Internals
2013-01-15,closed,4,Internals
2012-12-15,closed,2,Internals
2012-10-15,closed,4,Internals
2012-09-15,closed,1,Internals
2012-08-15,closed,2,Internals
2012-06-15,closed,1,Internals
2012-05-15,closed,1,Internals
2018-01-15,merged,18,Internals
2017-12-15,merged,7,Internals
2017-11-15,merged,26,Internals
2017-10-15,merged,32,Internals
2017-09-15,merged,27,Internals
2017-08-15,merged,60,Internals
2017-07-15,merged,22,Internals
2017-06-15,merged,21,Internals
2017-05-15,merged,27,Internals
2017-04-15,merged,26,Internals
