month,pull_type,pull_amount,user_type
2018-01-15,opened,3,Employees
2017-08-15,opened,1,Employees
2017-12-15,closed,1,Employees
2017-11-15,closed,1,Employees
2017-09-15,closed,2,Employees
2017-07-15,closed,1,Employees
2017-06-15,closed,2,Employees
2017-05-15,closed,3,Employees
2017-03-15,closed,5,Employees
2017-02-15,closed,2,Employees
2017-01-15,closed,4,Employees
2016-12-15,closed,7,Employees
2016-11-15,closed,8,Employees
2016-10-15,closed,4,Employees
2016-09-15,closed,3,Employees
2016-08-15,closed,3,Employees
2016-07-15,closed,1,Employees
2016-05-15,closed,2,Employees
2016-04-15,closed,2,Employees
2016-03-15,closed,1,Employees
2016-02-15,closed,5,Employees
2016-01-15,closed,1,Employees
2015-08-15,closed,2,Employees
2015-07-15,closed,3,Employees
2015-06-15,closed,2,Employees
2015-05-15,closed,4,Employees
2015-04-15,closed,2,Employees
2015-03-15,closed,2,Employees
2015-02-15,closed,3,Employees
2015-01-15,closed,1,Employees
2014-12-15,closed,2,Employees
2014-10-15,closed,1,Employees
2014-07-15,closed,2,Employees
2014-06-15,closed,1,Employees
2018-01-15,merged,2,Employees
2017-12-15,merged,16,Employees
2017-11-15,merged,20,Employees
2017-10-15,merged,23,Employees
2017-09-15,merged,36,Employees
2017-08-15,merged,36,Employees
2017-07-15,merged,37,Employees
2017-06-15,merged,40,Employees
2017-05-15,merged,35,Employees
2017-04-15,merged,23,Employees
2017-03-15,merged,43,Employees
2017-02-15,merged,33,Employees
2017-01-15,merged,23,Employees
2016-12-15,merged,46,Employees
2016-11-15,merged,44,Employees
2016-10-15,merged,17,Employees
2016-09-15,merged,7,Employees
2016-08-15,merged,38,Employees
2016-07-15,merged,15,Employees
2016-06-15,merged,13,Employees
2016-05-15,merged,17,Employees
2016-04-15,merged,8,Employees
2016-03-15,merged,2,Employees
2016-02-15,merged,19,Employees
2016-01-15,merged,3,Employees
2015-12-15,merged,2,Employees
2015-11-15,merged,9,Employees
2015-10-15,merged,18,Employees
2015-09-15,merged,26,Employees
2015-08-15,merged,18,Employees
2015-07-15,merged,46,Employees
2015-06-15,merged,22,Employees
2015-05-15,merged,16,Employees
2015-04-15,merged,26,Employees
2015-03-15,merged,4,Employees
2015-02-15,merged,14,Employees
2015-01-15,merged,5,Employees
2014-12-15,merged,1,Employees
2014-11-15,merged,1,Employees
2014-10-15,merged,6,Employees
2014-09-15,merged,9,Employees
2014-08-15,merged,7,Employees
2014-07-15,merged,4,Employees
2014-06-15,merged,21,Employees
2017-12-15,opened,1,Volunteers
2017-11-15,closed,1,Volunteers
2017-10-15,closed,1,Volunteers
2017-09-15,closed,1,Volunteers
2017-07-15,closed,3,Volunteers
2017-06-15,closed,7,Volunteers
2017-05-15,closed,1,Volunteers
2017-04-15,closed,1,Volunteers
2017-03-15,closed,5,Volunteers
2017-02-15,closed,3,Volunteers
2017-01-15,closed,4,Volunteers
2016-11-15,closed,5,Volunteers
2016-10-15,closed,5,Volunteers
2016-09-15,closed,3,Volunteers
2016-08-15,closed,2,Volunteers
2016-07-15,closed,4,Volunteers
2016-06-15,closed,1,Volunteers
2016-05-15,closed,3,Volunteers
2016-04-15,closed,3,Volunteers
2016-03-15,closed,6,Volunteers
2016-02-15,closed,5,Volunteers
2016-01-15,closed,3,Volunteers
2015-11-15,closed,5,Volunteers
2015-10-15,closed,3,Volunteers
2015-09-15,closed,3,Volunteers
2015-08-15,closed,5,Volunteers
2015-07-15,closed,1,Volunteers
2015-06-15,closed,6,Volunteers
2015-05-15,closed,6,Volunteers
2015-04-15,closed,9,Volunteers
2015-02-15,closed,1,Volunteers
2017-12-15,merged,1,Volunteers
2017-11-15,merged,6,Volunteers
2017-09-15,merged,6,Volunteers
2017-08-15,merged,5,Volunteers
2017-07-15,merged,8,Volunteers
2017-06-15,merged,3,Volunteers
2017-05-15,merged,7,Volunteers
2017-04-15,merged,2,Volunteers
2017-03-15,merged,7,Volunteers
2017-02-15,merged,8,Volunteers
2017-01-15,merged,6,Volunteers
2016-12-15,merged,7,Volunteers
2016-11-15,merged,11,Volunteers
2016-10-15,merged,11,Volunteers
2016-09-15,merged,8,Volunteers
2016-08-15,merged,5,Volunteers
2016-07-15,merged,14,Volunteers
2016-06-15,merged,13,Volunteers
2016-05-15,merged,11,Volunteers
2016-04-15,merged,17,Volunteers
2016-03-15,merged,20,Volunteers
2016-02-15,merged,8,Volunteers
2016-01-15,merged,3,Volunteers
2015-12-15,merged,6,Volunteers
2015-11-15,merged,8,Volunteers
2015-10-15,merged,21,Volunteers
2015-09-15,merged,13,Volunteers
2015-08-15,merged,17,Volunteers
2015-07-15,merged,20,Volunteers
2015-06-15,merged,29,Volunteers
2015-05-15,merged,15,Volunteers
2015-04-15,merged,11,Volunteers
2015-01-15,merged,1,Volunteers
